SERIAL,FARE,FAREK,SPEND,SPENDIMPREASON
230049878016,73,0,,
230049878019,68,1,,
230049878021,73,0,,
230049878023,73,0,,
230049878027,73,0,,
230049878028,77,5,,
230049878029,68,1,,
230049878041,89,1,,
230049878045,56,1,189,
230049878048,56,1,315,
230049878052,,,,
230049878059,89,1,115,
230049926002,73,0,,
230049926006,91,0,,
230049926011,73,0,,
230049926033,,,,
230049926043,,,,
230049926044,52,1,,
230049926048,52,1,215,
230049926054,91,1,,
230049955018,,,,
230049955021,,,,
230049955031,73,0,515,
230049955034,73,0,,
230049955059,56,1,,
230049955061,78,1,9,
230051607145,77,5,,
230051607146,38,1,,
230051607148,91,1,,
230051607149,54,3,315,
230051607162,,,,
230051607163,38,1,,
230051607168,80,7,,
230051607176,80,7,,
230051607181,80,7,,
230051607186,73,5,,
230051607187,70,1,,
230051607195,77,5,,
230051607198,55,3,,
230051607199,70,1,,
230051607200,71,2,,
230051607201,77,5,15,
230051607214,73,5,,
230051607220,77,5,,
230051607221,73,5,,
230051607223,71,2,,
230059406050,46,1,,
230059406053,73,5,8,
230059406056,73,0,0,
230059406057,73,0,0,
230059406058,52,1,,
230059406062,73,0,,
230059406072,38,1,,
230059406074,80,7,,
230059406075,80,7,,
230059406077,80,7,,
230059406079,80,7,,
230059406084,77,5,,
230059406090,55,3,,
230059406104,77,5,,
230059406113,73,5,,
230059535015,54,3,,
230059535023,80,7,,
230059535027,80,7,,
230059535030,80,7,,
230059535033,80,7,,
230059535054,55,3,,
230059535057,73,5,,
230059535059,73,5,,
230059535061,89,2,,
230059535064,77,5,,
230059535067,76,1,,
230059543099,73,0,,
230059543102,68,1,,
230059543104,55,5,,
230059635069,68,1,,
230059635072,50,5,1115,
230059635073,73,0,,
230059635074,73,5,,
230059635076,73,0,,
230059635078,38,1,,
230059635080,89,1,,
230059635083,52,1,,
230059635088,54,3,0,
230059635090,54,3,,
230059635091,80,7,,
230059635101,73,5,,
230059635112,55,3,,
230059635117,71,2,,
230059635118,76,1,,
230059635120,76,1,,
230059635130,76,1,,
230059635131,71,2,,
230059635133,77,5,,
230059635135,52,1,,
230059635138,89,2,,
230059635139,77,5,,
230059841143,68,1,,
230059841144,77,5,,
230059841145,38,1,,
230059841150,73,0,,
230059841155,52,1,,
230059841169,80,7,,
230059841171,80,7,,
230059841176,80,7,,
230059841177,80,7,,
230059841184,73,5,,
230059841196,70,1,,
230059841201,73,5,,
230059841203,70,1,,
230059841207,73,5,,
230059841208,70,1,,
230059841221,71,2,,
230059878119,73,5,,
230059878125,77,5,,
230059878128,55,5,,
230059878129,77,5,,
230059878131,89,1,,
230059878134,38,1,,
230059878136,52,1,,
230059878140,38,1,,
230059878144,54,3,,
230059878145,38,1,,
230059878153,80,7,,
230059878155,80,7,,
230059878165,73,5,,
230059878182,77,5,,
230059878189,,,,
230059878193,73,5,,
230059878195,89,2,,
230059878196,73,5,,
230059878199,73,0,,
230118019002,76,4,2011,
230118019006,87,4,783,
230118019009,115,,294,
230118019010,70,2,372,
230118019020,65,3,555,
230118019021,,,,
230118019025,,,,
230118019026,,,,
230118019029,1450,,2000,
230118019032,57,5,,
230118019034,,,,
230118019037,,,,
